Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
1.003063208,-0.1217171394,-0.004756125212,-0.1853877264,0.2218249126
1.013017208,-0.04973663561,0.1095622033,-0.07951570094,0.1442232852
1.022971208,-0.02560510352,0.09569143832,-0.01138160527,0.09970964664
1.032925208,0.1053591881,-0.01076530874,-0.09669715941,0.1434112654
1.042879208,0.2732686368,-0.1197901529,-0.2316929966,0.3777658974
1.052833208,0.3296459187,-0.09859867394,-0.138408857,0.3708707887
1.062786708,0.3145366769,0.04760627568,0.03775693327,0.3203517826
1.072740708,0.3359305792,0.1113467735,0.1671730649,0.3914004236
1.082695708,0.3147471036,0.06543619037,0.06771163434,0.3285308199
1.092649708,0.3123589911,-0.055871315,0.0008922851086,0.3173177261
1.102603708,0.2982309851,-0.07249962687,-0.02892909944,0.3082771629
1.112557708,0.2260745898,-0.03897403121,0.06008131027,0.2371464929
1.122511708,0.1839068094,0.04718001366,0.1290059495,0.229543467
1.132465708,0.1840002918,0.002671592832,0.1534204137,0.2395852002
1.142419708,0.1272316485,-0.03941257238,0.08375025451,0.1573383245
1.152373708,0.1370417414,-0.05960593164,0.03210413754,0.1528528103
1.162327708,0.1170741943,-0.009236261845,0.05983046472,0.1318004553
1.172281708,0.06766372371,0.02287723124,0.1068485105,0.1285237387
1.182236708,0.03407691501,0.006023801565,0.06228366405,0.07125150615
1.192190708,0.03291503672,-0.03624864399,-0.02890337169,0.05685744216
1.202144708,-0.02317467179,-0.07375326991,-0.06810222834,0.1030268108
1.212098708,-0.0572359455,-0.03640944242,-0.02841980696,0.07354785097
1.222052708,-0.03550246619,0.01242767215,-0.007972678542,0.03845043229
1.232006708,-0.09524935227,0.05108770788,-0.01011363655,0.1085572598
1.241960708,-0.09101143654,0.03622116208,-0.08033255696,0.1266821766
1.251914708,-0.09426449843,-0.02246324837,-0.1371470279,0.1679276643
1.261868708,-0.1106614798,-0.004757294655,-0.153944909,0.1896513379
1.271823708,-0.08212597109,0.02294681311,-0.0997201699,0.1312072545
1.281777708,-0.07198843405,0.0582382679,-0.06815836161,0.1149764878
1.291731708,-0.07541683931,0.04771094084,-0.08804708093,0.1253647558
1.301685708,-0.04251934424,0.0315147382,-0.1419674724,0.1515118365
1.311639708,0.003143280409,0.03763852715,-0.1260086668,0.1315474174
1.321593708,-0.0004248733073,0.03338058472,-0.101538654,0.1068856501
1.331547708,0.01828548588,0.04292557955,-0.06920267433,0.08346241374
1.341501708,0.02044013003,0.04665142536,-0.1033527526,0.1152212909
1.351455708,-0.01658544447,0.008187271357,-0.09862410933,0.1003435266
1.361409708,0.03120280752,0.008380229473,-0.1153801829,0.119818321
1.371364708,0.01658646774,0.01783810079,-0.06459302187,0.06903308791
1.381318708,-0.02706113331,0.05836632192,-0.01755071014,0.06668552989
1.391272708,0.03340300513,0.03424421847,0.002655805349,0.04791117357
1.401226708,0.04851895295,0.006371126175,-0.03490758508,0.06011006189
1.411180708,0.07378393125,-0.02088976264,-0.05873791248,0.09659499498
1.421134708,0.1521093218,-0.002800231576,-0.02822450995,0.1547310894
1.431088708,0.1547383579,0.01872161508,0.02341488272,0.1576157194
1.441042708,0.1527794858,0.0283829695,0.027241593,0.1577633311
1.450996708,0.1880833659,0.008417066932,0.02863089144,0.1904361507
1.460950708,0.1785260006,-0.0209862417,-0.01369008601,0.1802758267
1.470905708,0.1318452478,-0.02120375812,0.01104772925,0.1339956008
1.480859708,0.1428075163,-0.0117377007,0.02645017236,0.1457098897
1.490813708,0.1082229716,-0.006807913184,0.04135150909,0.1160538951
1.500767708,0.04632321384,-0.01566469073,0.03368961006,0.05938192067
1.510721708,0.01442820562,-0.04216485679,0.01881546289,0.04837426908
1.520675708,-0.04392342517,-0.04802844465,0.04935342371,0.08168083745
1.530629708,-0.1026325949,-0.04539251983,0.07878129065,0.1371146314
1.540583708,-0.153161912,-0.03838229299,0.1056036383,0.1899576272
1.550537708,-0.2776174486,-0.08588331878,0.1307156754,0.3186439706
1.560491708,-0.4524281649,-0.1341251868,0.1709743398,0.5019093893
1.570446708,-0.6726157415,-0.1228798217,0.215948199,0.7170390582
1.580400708,-0.9084644274,-0.09665272057,0.298531934,0.9611298975
1.590354708,-1.083125217,-0.1139961469,0.4015233287,1.160765412
1.600308708,-1.172682049,-0.142484951,0.4255012983,1.255602049
1.610262708,-1.265936368,-0.2622873831,0.5031113917,1.387267325
1.620216708,-1.388714448,-0.3687628412,0.6482609189,1.576310906
1.630170708,-1.437952243,-0.4756575447,0.7546258646,1.692163393
1.640124708,-1.443198511,-0.5756782615,0.7407030594,1.721298471
1.650078708,-1.457161078,-0.6300725698,0.7165604907,1.741771738
1.660032708,-1.414431234,-0.5943981224,0.7320895261,1.699964681
1.669987708,-1.321653609,-0.4556729311,0.8061120602,1.613760433
1.679941708,-1.258023916,-0.3542617464,0.8233473131,1.544676781
1.689895708,-1.232416912,-0.3265131998,0.8076706356,1.509236287
1.699849708,-1.087909482,-0.3508843946,0.7026730612,1.341795935
1.709803708,-1.050427368,-0.4132443649,0.6110609329,1.283574706
1.719757708,-0.9921660769,-0.3853964156,0.5478782594,1.197119254
1.729711708,-1.051009385,-0.3519140893,0.5305260623,1.228788899
1.739665708,-1.009228837,-0.3309757948,0.4296949214,1.145742356
1.749619708,-0.699692443,-0.4017955166,0.3548952922,0.8814532435
1.759573708,-1.057576247,-0.4482434589,0.2168115404,1.168929836
1.769528708,-0.4780221222,-0.1345923793,0.4310962066,0.657620101
1.779482708,-0.5380114119,0.04735367596,0.6771903107,0.8661901447
1.789436708,-0.08279555038,0.1722624815,0.4717504352,0.5089969929
1.799390708,0.09747684907,-0.05868908823,0.2351639038,0.2612435776
1.809344708,0.1952333412,-0.2712956035,-0.0299529469,0.3355809009
1.819298708,-0.04437371559,-0.3925247562,-0.0831778121,0.4036870809
1.829252708,-0.06561014503,-0.3038371128,-0.1127530289,0.3306583248
1.839206708,-0.1610706914,-0.2799284327,-0.1887106991,0.3740527009
1.849160708,-0.2966980279,-0.1549032676,-0.4142173415,0.5325417806
1.859114708,0.2203551724,-0.008906478882,-0.4167234582,0.4714808246
1.869069708,0.09095409729,0.2261504209,-0.5882170308,0.6367228094
1.879023708,0.403333846,0.4228829151,-0.5377538055,0.7941582377
1.888977708,0.6004502099,0.4720170683,-0.6301959461,0.9901956866
1.898931708,0.87323086,0.3876160187,-1.11842442,1.470935585
1.908885708,0.9885150024,0.2818404722,-1.483357627,1.804701031
1.918839708,1.298117251,0.313152312,-1.433272424,1.958939154
1.928793708,1.881238433,0.5260061646,-1.352097868,2.375691304
1.938747708,2.309018391,0.758262248,-1.165235474,2.695236776
1.948701708,2.04881671,1.048771802,-1.215131519,2.602713356
1.958655708,1.567778265,1.256084833,-1.598986317,2.567573765
1.968610708,1.411398575,1.167662069,-1.899231777,2.638666707
1.978564708,1.341000438,1.144995922,-2.091173648,2.73538024
1.988518708,1.328011871,0.9203055507,-2.064365918,2.621485167
1.998472708,1.341621412,0.755410561,-2.115191086,2.616223702
